Student ID,First Name,Last Name,Gender,National ID,Phone Number
ST1,John1,Doe1,F,123456001,123456001
ST2,John2,Doe2,M,123456002,123456002
ST3,John3,Doe3,F,123456003,123456003
ST4,John4,Doe4,M,123456004,123456004
ST5,John5,Doe5,F,123456005,123456005
ST6,John6,Doe6,M,123456006,123456006
ST7,John7,Doe7,F,123456007,123456007
ST8,John8,Doe8,M,123456008,123456008
ST9,John9,Doe9,F,123456009,123456009
ST10,John10,Doe10,M,123456010,123456010
ST11,John11,Doe11,F,123456011,123456011
ST12,John12,Doe12,M,123456012,123456012
ST13,John13,Doe13,F,123456013,123456013
ST14,John14,Doe14,M,123456014,123456014
ST15,John15,Doe15,F,123456015,123456015
ST16,John16,Doe16,M,123456016,123456016
ST17,John17,Doe17,F,123456017,123456017
ST18,John18,Doe18,M,123456018,123456018
ST19,John19,Doe19,F,123456019,123456019
ST20,John20,Doe20,M,123456020,123456020
ST21,John21,Doe21,F,123456021,123456021
ST22,John22,Doe22,M,123456022,123456022
ST23,John23,Doe23,F,123456023,123456023
ST24,John24,Doe24,M,123456024,123456024
ST25,John25,Doe25,F,123456025,123456025
ST26,John26,Doe26,M,123456026,123456026
ST27,John27,Doe27,F,123456027,123456027
ST28,John28,Doe28,M,123456028,123456028
ST29,John29,Doe29,F,123456029,123456029
ST30,John30,Doe30,M,123456030,123456030
ST31,John31,Doe31,F,123456031,123456031
ST32,John32,Doe32,M,123456032,123456032
ST33,John33,Doe33,F,123456033,123456033
ST34,John34,Doe34,M,123456034,123456034
ST35,John35,Doe35,F,123456035,123456035
ST36,John36,Doe36,M,123456036,123456036
ST37,John37,Doe37,F,123456037,123456037
ST38,John38,Doe38,M,123456038,123456038
ST39,John39,Doe39,F,123456039,123456039
ST40,John40,Doe40,M,123456040,123456040
ST41,John41,Doe41,F,123456041,123456041
ST42,John42,Doe42,M,123456042,123456042
ST43,John43,Doe43,F,123456043,123456043
ST44,John44,Doe44,M,123456044,123456044
ST45,John45,Doe45,F,123456045,123456045
ST46,John46,Doe46,M,123456046,123456046
ST47,John47,Doe47,F,123456047,123456047
ST48,John48,Doe48,M,123456048,123456048
ST49,John49,Doe49,F,123456049,123456049
ST50,John50,Doe50,M,123456050,123456050
ST51,John51,Doe51,F,123456051,123456051
ST52,John52,Doe52,M,123456052,123456052
ST53,John53,Doe53,F,123456053,123456053
ST54,John54,Doe54,M,123456054,123456054
ST55,John55,Doe55,F,123456055,123456055
ST56,John56,Doe56,M,123456056,123456056
ST57,John57,Doe57,F,123456057,123456057
ST58,John58,Doe58,M,123456058,123456058
ST59,John59,Doe59,F,123456059,123456059
ST60,John60,Doe60,M,123456060,123456060
ST61,John61,Doe61,F,123456061,123456061
ST62,John62,Doe62,M,123456062,123456062
ST63,John63,Doe63,F,123456063,123456063
ST64,John64,Doe64,M,123456064,123456064
ST65,John65,Doe65,F,123456065,123456065
ST66,John66,Doe66,M,123456066,123456066
ST67,John67,Doe67,F,123456067,123456067
ST68,John68,Doe68,M,123456068,123456068
ST69,John69,Doe69,F,123456069,123456069
ST70,John70,Doe70,M,123456070,123456070
ST71,John71,Doe71,F,123456071,123456071
ST72,John72,Doe72,M,123456072,123456072
ST73,John73,Doe73,F,123456073,123456073
ST74,John74,Doe74,M,123456074,123456074
ST75,John75,Doe75,F,123456075,123456075
ST76,John76,Doe76,M,123456076,123456076
ST77,John77,Doe77,F,123456077,123456077
